X,id,PEDON_ID,Year,Location_U,Soil_Serie,Soil_Ser_1,Location,Lab_ID,Great_Grou,Order,Subgroup,Latitude,Longitude,Phase,Master_Hor,Suffix,Lower_Dept,Upper_Dept,Horizon_Mo,Horizon_Li,Calcium,Potassium,Magnesium,Sodium,CEC,Water_Solu,EC,Inorganic_,Organic_Ca,Water_So_1,Water_So_2,Water_So_3,Water_So_4,Water_So_5,Water_So_6,Total_Nitr,Exchangeab,Water_So_7,Extractabl,Extracta_1,clay_0_2,silt,clay_0_02,coase_sand,fine_sand,medium_san,total_sand,vc_sand,vf_sand,water_rtn_,water_rt_1,water_rt_2,b1,b2,b3,b4,b5,b6,b7,ari,ari_noBareSoil,CRSI,CRSI_noBareSoil,NDVI_July_Aug,NDVI_July_Aug_noBareSoil,NDVI_Sept_Oct,NDVI_Sept_Oct_noBareSoil,NDVI_SD,SAVI_Jul_Aug,SAVI_Jul_Aug_noBareSoil,SAVI_Sept_Oct,SAVI_Sept_Oct_noBareSoil,dem_3x3_sd3x3,dem_3x3_sd5x5,dem_3x3_sd9x9,dem_3x3_sd21x21,dem_9x9_sd21x21,dem_9x9_sd101x101,dem_3x3_tri,dem_5x5_tri,dem_9x9_tri,dem_9x9_tri_20,precip,temperature,MidSlope_Pos_100m,Norm_Height_100m,Slope_Height_100m,Stand_Height_100m,SWI_100m,Valley_Depth_100m
0,7178_1,7178,1986,600,BRC,Bradwell,NW3512 24 W2,86-0142,Dark Brown,Chernozem,Calcareous,50.04330024,-105.185664,NA,A,pk,11,0,NA,NA,16.7,0.3,8.3,0.5,21.1,0.1,0.9,4.1,1.88,3.9,0.5,9,3.9,4.1,1.1,0.234,NA,NA,NA,NA,16.1,56.1,11.4,0.2,7.8,0.4,27.8,0.2,19,23.4,11.2,1.8,916.53125,1300.413208,1536.37793,2121.269531,2960.921387,3015.120117,2549.899902,0.861517072,1.554874301,0.733472228,0.809203386,0.213762224,0.458429515,0.141086042,0.319306672,0.132216868,0.320463181,0.711098898,0.211617728,0.507487787,0.451535076,0.737257481,1.33181262,3.203509331,3.157060146,17.27435303,1.102492809,1.086360097,1.086479187,2.15858078,501.3651795,289.0946045,0.063960269,0.423515081,0.988452256,550.3197021,8.97310257,1.148465157
1,7179_1,7179,1959,600,WWA,Willows,NE1112 29 W2,59-0512,Brown,Chernozem,Orthic,49.98687694,-105.8565098,NA,A,p,8,0,NA,NA,21.8,3.2,6.9,NA,41.6,2.5,1.2,NA,2.94,6.4,NA,NA,5.6,0.7,NA,0.3,9.7,NA,NA,NA,40,32,23,NA,3,NA,28,NA,23,NA,NA,NA,898.291687,1275,1507.333374,2167,3160.5,3014.875244,2713.28125,0.863343894,1.478041887,0.733938932,0.804438949,0.255090475,0.463219106,0.153707519,0.33927989,0.13322125,0.381978709,0.709639785,0.23005952,0.529592844,0.453294396,0.721798062,1.319327116,2.189929962,1.822876453,11.24053955,1.330293894,1.027631283,0.812677503,1.609840155,492.9368283,289.03302,0.030432176,0.446700066,1.80177474,574.4178467,7.461707115,2.240960598
2,7180_1,7180,1987,300,ADD,Ardill,16DNE0911 01 W3,87-0418,Brown,Chernozem,Rego,49.90039102,-106.0761015,NA,A,pk,8,0,NA,NA,20,1,6.4,0.2,26.1,0.5,0.9,10.8,1.5,6.3,0.1,4.3,2.9,0.7,4.5,0.161,NA,NA,NA,NA,33.2,36.2,23.4,3.4,10.5,3.5,30.6,1.6,11.4,30.5,18.4,NA,930.0714111,1306.900024,1529.302002,2087.600098,2953.56543,3016.128418,2520.875,0.910573483,1.540268183,0.736663222,0.80420053,0.255174249,0.449431568,0.141501576,0.32492134,0.142693712,0.383212537,0.727282017,0.21192445,0.532074428,0.838412046,1.248682141,2.293924093,5.146241665,4.679535866,12.1438036,2.119955778,1.854421258,1.734021425,3.463463545,491.226761,288.9537964,0.085500881,0.175827026,1.75527513,577.5108643,6.909568787,1.488868475
3,7181_1,7181,1987,300,FXA,Fox valley,16ANE3111 01 W3,87-0433,Brown,Chernozem,Orthic,49.95857431,-106.1215849,NA,A,p,12,0,NA,NA,17,1.1,4.6,0.1,24.9,0.5,0.7,NA,1.52,5.1,0.1,3.7,2.6,0.5,0.9,0.152,NA,NA,NA,NA,26.1,30.5,13.7,1.3,20.3,3.5,43.5,0.1,18,23.8,12.8,NA,925.0272217,1323.158325,1574.574951,2247.208252,3240.618164,3013.859131,2823.848145,0.925283253,1.480384827,0.743606567,0.805216193,0.243151933,-3.40E+38,0.149420798,-3.40E+38,0.128412288,0.364928942,0.711022193,0.225255225,0.509084406,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,490.3399749,288.9425049,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38
4,7182_1,7182,1987,300,SCAH,Sceptre,16CNE3010 04 W3,87-0415,Vertisol,Vertisol,Orthic,49.85651584,-106.5263707,Carbonated,A,pk,11,0,NA,NA,24.5,1.6,12.4,2.1,38.5,0.2,0.7,3.1,1.31,1.8,0.2,5.3,0.9,5.3,1.3,0.133,NA,NA,NA,NA,57.8,41.4,17,NA,NA,NA,0.8,NA,NA,43,30.7,NA,986.940979,1331.087158,1523.875,1993.035645,2760.928467,3031.666992,2351.464355,0.770384789,1.358501911,0.709717751,0.788593471,0.23905988,0.449095517,0.123365358,0.327264071,0.147974467,0.357764207,0.730481805,0.184798034,0.524886471,0.234486252,0.447727382,0.82149142,0.974046409,0.62262404,1.212456703,0.778643012,0.633519232,0.40820992,0.573134422,485.8743529,288.8200073,0.181041881,0.590520978,2.780842543,640.0524292,7.743038177,2.111670971
5,7183_1,7183,1987,300,WWA,Willows,08ASE2110 05 W3,87-0406,Brown,Chernozem,Orthic,49.83465534,-106.6167349,NA,A,p,14,0,NA,NA,17.1,3.6,7.8,0.1,30.2,2.3,1,NA,2.07,5.2,0.4,5.4,3,1.2,1,0.197,NA,0.7,NA,NA,37.1,48.6,14.8,0.6,3.6,0.9,14.3,0.1,8.9,33.8,19.9,NA,1079.171875,1495.041626,1750.076904,2324.25,3280.636475,3031.912109,2855.06665,0.822165489,1.449079752,0.719846547,0.794191003,0.214159891,-3.40E+38,0.127991095,-3.40E+38,0.128527988,0.322300407,0.69023553,0.192416112,0.517810495,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,484.4294617,288.7991943,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38
6,7184_1,7184,1986,300,BRC,Bradwell,01ASE2611 09 W3,86-0189,Dark Brown,Chernozem,Calcareous,49.93319976,-107.1226518,NA,A,p,12,0,NA,NA,14.8,0.6,5.4,0.2,19.6,0.2,0.6,0.5,1.3,3.4,1.4,4,2,1,0.6,0.183,NA,NA,NA,NA,14.4,49.6,7.7,0.2,11.4,0.8,36,1.5,21.9,20.7,9.9,1.7,964.0999756,1365.614502,1656.633301,2312.625,3193.5,3016.211426,2761.59375,0.95284915,1.660196424,0.739724636,0.8078655,0.243662164,0.469347894,0.136281073,0.358980596,0.122539295,0.365116761,0.697111457,0.204017463,0.534643381,0.713540554,1.22192657,2.82071352,6.424301147,5.193993092,18.11092567,2.334582567,2.079676867,1.554964423,3.926676989,474.6643337,288.6893311,0.076785184,0.140252098,1.827162504,578.2426147,6.524514675,2.641518831
7,7185_1,7185,1987,300,EED,Esme,01ASE2611 09 W3,87-0450,Brown,Chernozem,Rego,49.93319976,-107.1226518,NA,A,pk,10,0,NA,NA,20.2,1.3,3.8,0.1,26.2,0.6,0.7,2.1,1.56,6.2,0.1,3.6,1.4,0.6,0.8,0.17,NA,0.8,NA,NA,30.2,47.4,7.2,1.2,7.2,2,22.4,1,10.8,28.1,14.5,NA,964.0999756,1365.614502,1656.633301,2312.625,3193.5,3016.211426,2761.59375,0.95284915,1.660196424,0.739724636,0.8078655,0.243662164,0.469347894,0.136281073,0.358980596,0.122539295,0.365116761,0.697111457,0.204017463,0.534643381,0.713540554,1.22192657,2.82071352,6.424301147,5.193993092,18.11092567,2.334582567,2.079676867,1.554964423,3.926676989,474.6643337,288.6893311,0.076785184,0.140252098,1.827162504,578.2426147,6.524514675,2.641518831
8,7186_1,7186,1974,600,FXO,Fox valley,NE3312 07 W3,74-8926,Regosolic,Regosol,Orthic,50.04407093,-106.8979639,NA,AC,p,7,0,NA,NA,24.5,0.8,6.5,0.1,19.5,0.02,0.4,12.2,0.6,0.13,0.01,NA,0.06,0.02,NA,0.1,NA,NA,NA,NA,27,62,15,1,1,1,11,1,10,29.7,14.8,2.3,1019.5,1465.375,1767.233276,2517.875,3600.5,3015.481934,3111.375,1.003793359,1.671233177,0.751520693,0.812332332,0.27239728,-3.40E+38,0.145444155,-3.40E+38,0.134322411,0.407908525,0.715612257,0.219951624,0.526144117,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,478.6230266,288.7505798,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38
9,7187_1,7187,1974,600,FXC,Fox valley,NE3312 07 W3,74-8931,Brown,Chernozem,Calcareous,50.04407093,-106.8979639,NA,A,pk,7,0,NA,NA,31,NA,4.9,0.1,NA,0.01,0.4,4.6,1.2,0.15,0.01,NA,0.07,0.01,NA,0.13,NA,NA,NA,NA,27,58,16,1,2,1,15,1,10,30.9,14.6,2.6,1019.5,1465.375,1767.233276,2517.875,3600.5,3015.481934,3111.375,1.003793359,1.671233177,0.751520693,0.812332332,0.27239728,-3.40E+38,0.145444155,-3.40E+38,0.134322411,0.407908525,0.715612257,0.219951624,0.526144117,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,478.6230266,288.7505798,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38
10,7188_1,7188,1974,600,FXA,Fox valley,NE3312 07 W3,74-8937,Brown,Chernozem,Orthic,50.04407093,-106.8979639,NA,A,p,8,0,NA,NA,27,1,4.9,0.1,NA,0.01,0.4,NA,NA,0.15,0.01,NA,0.04,0.01,NA,0.14,NA,NA,NA,NA,27,54,21,1,2,1,19,1,15,30.5,13.7,2.6,1019.5,1465.375,1767.233276,2517.875,3600.5,3015.481934,3111.375,1.003793359,1.671233177,0.751520693,0.812332332,0.27239728,-3.40E+38,0.145444155,-3.40E+38,0.134322411,0.407908525,0.715612257,0.219951624,0.526144117,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,478.6230266,288.7505798,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38
11,7189_1,7189,1987,300,AMA,Amulet,13CNE2110 19 W3,87-0471,Dark Brown,Chernozem,Orthic,49.8421559,-108.5313176,NA,A,p,15,0,NA,NA,17.7,0.9,5.1,0.2,25.5,0.4,0.7,NA,1.79,5.2,0.1,4.2,1.8,0.7,0.7,0.134,NA,0.6,NA,NA,21.6,43.8,3.4,3.7,9.9,3.5,34.5,1.4,15.7,26.3,12.8,NA,859.5,1243.692139,1517.098145,2213.904297,3239.691895,3015.532227,2822.986816,1.024632335,1.724096298,0.762958705,0.820533872,0.249258637,0.463197351,0.148454592,0.333169192,0.139872603,0.373843651,0.729356737,0.222813698,0.536230456,0.332157075,0.559003711,0.878329396,2.015114546,1.663563251,18.81104088,0.757117152,0.636937201,0.692896187,1.299894333,459.152281,288.4838867,0.600380182,0.800190091,6.005302906,835.2836304,7.18253231,1.258298039
12,7190_1,7190,1987,300,EAA,Eastend,04BNE1510 19 W3,87-0466,NA,Chernozem,Orthic,49.8168646,-108.5087748,NA,A,h,13,0,NA,NA,12.7,0.8,4.8,0.1,23.2,0.5,0.5,NA,1.55,4.1,0.5,3.6,1.7,0.6,0.4,0.15,NA,NA,NA,NA,25,30.7,16.6,3.1,19.4,4.9,44.3,1.1,15.5,24.8,14,NA,780,1098.75,1289.5,1965,2792,3013,2409,0.964591742,1.430271387,0.751502573,0.798379719,0.328999817,0.396109641,0.196804792,0.371622831,0.132480374,0.49410947,0.68889967,0.296344988,0.568885101,0.756557584,1.342358828,1.865015149,11.41714478,10.79371357,18.93157768,2.197365046,1.445638299,1.371590137,6.487968922,460.0397683,288.4562683,0.27561903,0.379895985,9.441924095,671.2663574,5.637741566,1.636902452
13,7191_1,7191,1992,600,KLA,Klintonel,SW1509 22 W3,92-0050,Black,Chernozem,Orthic,49.73108764,-108.9128704,NA,A,p,10,0,NA,NA,24.4,1.5,9.6,0.1,36.2,0.3,0.6,NA,2.6,4,0.2,NA,2.1,0.6,1.7,NA,NA,NA,NA,NA,38,29.4,NA,3.7,12.2,3.6,32.6,1.8,11.3,NA,NA,4.9,650.958313,916.2999878,1091.5625,1747.357178,2856.699951,2999.001465,2459.625,1.431979895,1.897489548,0.801754117,0.825103402,0.454526216,-3.40E+38,0.256611168,-3.40E+38,0.159381249,0.682100562,0.849365685,0.38419293,0.598698654,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,463.7443417,288.3851929,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38
14,7192_1,7192,1992,600,CCA,Caton creek,NE3609 23 W3,92-0055,Black,Chernozem,Orthic,49.78203765,-108.9921133,NA,A,p,17,0,NA,NA,13,0.5,4.4,NA,26,0.2,0.3,NA,2.47,1.3,0.2,NA,1,0.7,0.4,NA,NA,NA,NA,NA,34.2,30.3,NA,4.7,12.6,4.4,35.5,2.2,11.5,NA,NA,2.9,631,899.5,1054,1719,2931,2977,2411,1.217986941,1.741504669,0.785299718,0.82108444,0.374400288,-3.40E+38,0.266827524,-3.40E+38,0.143028806,0.561491187,0.774619102,0.400327167,0.583473827,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,461.7796166,288.4405518,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38,-3.40E+38
